;total_general;;;;BE _belgium;;;;BR_brazil;;;;CN_china;;;;;DE_germany;;;;ES_spain;;;;FR_france;;;;GB_great britain;;;;IN_india;;;;IT_italy;;;;NL_netherland;;;;RU_russia;;;;US_united states;;;;XX_others;;
;11;11;11;11;BE;BE;BE;BE;BR;BR;BR;BR;CN;CN;CN;CN;DE;DE;DE;DE;ES;ES;ES;ES;FR;FR;FR;FR;GB;GB;GB;GB;IN;IN;IN;IN;IT;IT;IT;IT;NL;NL;NL;NL;RU;RU;RU;RU;US;US;US;US;XX;XX;XX;XX
date;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason;all;leisure;meetings;other_business_reason
2014-01;219696;102215;83860;33621;47787;21112;19028;7647;2624;2077;352;195;3082;1674;664;744;14432;5912;6308;2212;10693;6724;2604;1365;35260;17700;11511;6049;17699;7220;8038;2441;569;257;240;72;10472;5038;3690;1744;13628;6429;5359;1840;4856;2736;1504;616;9264;4314;4024;926;49330;21022;20538;7770
2014-02;229749;105118;93065;31566;49684;22597;19955;7132;1864;1345;371;148;3857;1966;1038;853;15099;5604;7463;2032;11223;6746;2872;1605;36969;20407;11639;4923;19522;8087;9351;2084;546;266;215;65;10392;4886;3920;1586;13715;6859;5273;1583;2008;1014;694;300;9899;4328;4787;784;54971;21013;25487;8471
2014-03;283747;127501;116655;39591;61499;26676;25888;8935;2329;1706;393;230;5166;2888;1619;659;19519;7609;8778;3132;14337;8153;4189;1995;41356;22156;13716;5484;22793;9889;10266;2638;836;453;274;109;14024;6588;5331;2105;14968;7346;5909;1713;3074;1468;1075;531;13716;5796;6684;1236;70130;26773;32533;10824
2014-04;301183;150828;108545;41810;63032;28703;24113;10216;3456;2626;590;240;6276;4405;1079;792;20757;8894;8968;2895;18713;11630;4921;2162;45520;26109;13847;5564;22217;10264;9553;2400;1109;661;289;159;14043;7515;4612;1916;14381;7267;5402;1712;3613;1970;1220;423;15270;6695;6299;2276;72796;34089;27652;11055
2014-05;319688;150999;124066;44623;70833;31449;28466;10918;3605;2507;792;306;7096;4731;1577;788;21452;8953;9525;2974;16862;10038;4709;2115;48649;26841;15192;6616;22879;9298;10952;2629;1749;880;612;257;12859;6051;4712;2096;14847;7081;5974;1792;4230;2113;1611;506;20077;9515;8301;2261;74550;31542;31643;11365
2014-06;289617;132395;115802;41420;62187;26364;25565;10258;2711;2067;423;221;6468;3837;1431;1200;20824;8318;9402;3104;17989;10484;4906;2599;35851;18532;12039;5280;22911;10019;10366;2526;1295;678;481;136;11063;4787;4566;1710;12419;5559;5378;1482;2988;1583;994;411;20289;9279;8840;2170;72622;30888;31411;10323
2014-07;278761;154471;91845;32445;54351;28067;18128;8156;4670;3302;972;396;10607;7241;2194;1172;17297;8629;6903;1765;20247;13968;4460;1819;29350;17527;7969;3854;22164;11249;8952;1963;1778;952;637;189;9438;5039;3144;1255;11377;6114;4157;1106;3465;2225;899;341;21439;11021;8446;1972;72578;39137;24984;8457
2014-08;292535;178612;80474;33449;56311;30757;17159;8395;3628;2776;558;294;9342;6459;1532;1351;20546;11502;6834;2210;26512;19268;5077;2167;36519;23735;8388;4396;25260;15828;7490;1942;949;614;214;121;16953;10964;4366;1623;12355;7483;3578;1294;3839;2539;957;343;17124;8549;6869;1706;63197;38138;17452;7607
